source_id,ra,dec,l,b,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,bp_rp,teff_gspphot,ruwe
296197196889020416,20.817040359268002,26.653918849217757,131.69287423673197,-35.675765301090856,1.0527513176895,0.14348496,7.337015,17.97522,-0.37194443,12695.703,0.9681617
306271957509820544,16.94617062055586,25.05071600870661,127.61058733493182,-37.6724875317142,0.35612102941445783,0.030913783,11.519814,14.889223,0.4724493,7626.5737,1.031182
309391787394140288,20.919559198525103,30.042266140230588,131.18891953795853,-32.3120511854747,0.3716392082874351,0.0692405,5.3673673,16.473791,-0.03205681,21612.896,0.95089537
309418862867813632,20.04693898145555,29.911438860142468,130.3238567113041,-32.54732673312574,0.39660230077279457,0.024785502,16.001383,14.796892,0.47628975,7496.839,0.93123025
309498023409600768,21.279825953349206,30.440499550221634,131.4813356188895,-31.87149839235377,0.44963351137942426,0.029028581,15.489338,12.730733,-0.06184292,12083.385,0.92869
295338894919446528,21.434526942197447,25.6982989499626,132.55746179332363,-36.53153935877828,1.2805504384308062,0.02265094,56.534096,11.582878,0.42418766,8668.157,1.1321535
307029005625244160,18.7441730011759,27.186450979327137,129.35519848333695,-35.391549205191914,0.27677599897899907,0.020218559,13.689205,14.386112,0.46773148,7768.318,1.0151775
307375489227377792,15.381023329915815,26.08129609022066,125.75814697301445,-36.735099059650075,0.6176721280611096,0.017999023,34.31698,13.697763,0.4658451,7607.5474,1.0743828
308588525430308608,19.264793289066922,27.984534701728922,129.80127111368057,-34.545239696305686,6.141391864408785,0.02919126,210.38461,8.245887,0.21713257,8519.38,1.2519659
309416247232287744,19.93923423571196,29.813409030975794,130.2292071342577,-32.65676324314725,0.6556888064325995,0.01871107,35.042828,12.297251,0.22700596,8999.382,1.084133
310542937412889728,18.535673328157685,31.205154673942168,128.62085487209578,-31.41567034253538,1.0541276421324557,0.020852622,50.551323,11.867781,0.12705612,9223.763,1.1718978
310925223862055808,15.13730787340842,28.388679574586092,125.36181078628806,-34.44007937850971,1.1096538048740383,0.1876775,5.912556,18.532156,-0.49401283,10331.049,0.9905368
296529013177307904,20.46759618010961,27.81354354595288,131.1081668553898,-34.574594863792754,1.2987092690590953,0.24167448,5.3737955,18.990267,-0.17306519,9949.632,0.9590096
306870744670383872,18.555331270855923,26.697599851849667,129.2157728322161,-35.89600695925744,0.4500198707877199,0.023310827,19.305187,12.538229,0.30461788,8663.638,1.1773149
308854366726051968,18.514535643742672,28.488487095637378,128.93688216920373,-34.119377238323345,0.3633621506252924,0.026609762,13.65522,13.957425,0.13097477,10465.664,1.0225042
310513254894645632,19.62683182578884,31.34812243716432,129.68633587409045,-31.16836045709503,0.32909489841358414,0.033270195,9.8915825,14.737388,0.41148472,7803.932,1.1474606
313037321275223168,17.21626387399341,30.4718301574843,127.37205216600393,-32.249630543332415,1.6915608976606484,0.026321942,64.26429,11.532862,0.37898827,7739.9414,1.2173656
307987333088112640,17.069127492502723,27.88099309304698,127.46635844480534,-34.84245911146666,0.33584125408441495,0.04709284,7.1314716,14.716293,-0.41609383,19972.205,0.9422983
313341061362395136,16.359785251178653,31.412376128154953,126.43042951500617,-31.364246443319526,0.2822265827607132,0.0355432,7.940382,14.92399,0.3110857,9379.066,1.0732445
314127727572359808,15.465280619941572,31.485470058743466,125.53350411503362,-31.333622733899606,0.1681299710599871,0.025360944,6.6294837,14.786801,0.23362541,7996.391,1.0134133
307158438759677568,17.967284097389733,27.56422753894837,128.46685045023176,-35.087849627351304,1.7215045038269168,0.023846729,72.190384,10.943836,0.32466888,7743.371,1.1418835
307973211235659008,17.13235245141096,27.7143996292619,127.5506617442633,-35.00402511189747,0.5536370998957599,0.04193671,13.201729,15.389649,-0.31432343,9998.485,1.057042
309704461013155456,18.224958536975937,29.290562068459117,128.53449937352076,-33.34760697911346,0.38300476326937244,0.016580015,23.100388,13.488745,0.27081394,9169.896,1.0635413
310118805098105984,17.991529241128685,30.53901103512476,128.15140914889813,-32.12460806818482,0.5766366504454774,0.017171163,33.581688,13.628822,0.47606182,7505.3257,1.0202754
311640391752188800,15.327533910771486,30.007433942593263,125.47502884854778,-32.81556377833983,3.9787999655970716,0.015370484,258.85977,9.569692,0.43130112,7411.5015,0.94438106
2805435082553510400,14.91853512584064,26.171866744712027,125.23576022199708,-36.663037658666354,0.13925495165733073,0.017122034,8.133085,13.654467,0.4513893,9587.517,0.9480209
296769492691257344,21.962213667910788,27.98909025234842,132.65561867652045,-34.19424556815439,0.26571739602286143,0.03230191,8.226058,15.374102,0.48987675,7465.039,0.95968926
308238880732726016,15.924795623922261,28.32695337587879,126.20492084797438,-34.466863302272515,2.0771934672200625,0.02968006,69.98616,9.554577,0.08988953,9998.529,0.98666507
310285484188895744,19.377823097870664,30.83793566589193,129.51039692319182,-31.70054792674949,2.0992993751567854,0.01966185,106.770195,11.108667,0.35553646,7900.911,0.9785659
310554142983170176,18.738821555386203,31.490208289573083,128.78775264223307,-31.114002220816573,0.8316053725897109,0.016087433,51.692852,12.391042,0.4031973,7897.6416,1.1529691
314134801382975488,15.462872592644828,31.71518505151146,125.5184052839034,-31.104261764201503,2.1718448308195057,0.021050518,103.17299,10.81734,0.45183945,7496.4272,0.9765457
294963583497458304,19.922619050090333,26.981053937799615,130.66409012854007,-35.46616067981443,0.37895946674473235,0.029566359,12.817252,14.861668,0.49136162,7543.196,0.96748155
309631343489942144,18.4535823520421,28.825279856108068,128.8300585884621,-33.79007663383123,0.23788465718991747,0.041805103,5.6903257,15.467802,0.40298462,7940.7466,1.1604688
309917968134775040,17.68305014836202,29.641988368401584,127.93353598524648,-33.04231462326821,0.1724095035870113,0.027365979,6.30014,14.885866,0.1859541,8992.699,0.98286897
310633342180517376,19.469362639607095,31.829931185404075,129.46320736015252,-30.706294853652985,2.526786241315116,0.030080866,83.99979,9.57185,0.27339077,8257.9,1.1601145
313250557811548288,17.69014597154685,31.61499824863757,127.7349448725585,-31.076485399637445,0.26068659204601247,0.03141903,8.297092,15.13695,0.38779068,7794.2812,1.0402284
315658694434763264,21.631738802319244,31.70839554820937,131.59888333048585,-30.572153193447438,0.17045634262953588,0.023086913,7.3832455,14.238985,0.17330551,7991.5063,0.9590578
296407654581453824,20.438920591513767,26.946530696278685,131.22939294625942,-35.436279492663026,0.5290548721954594,0.03956215,13.372753,14.611737,0.25316143,7883.706,1.1841758
307933972414398720,16.847059919887162,27.324844737964572,127.27935618409478,-35.41222741283752,0.46710048338804794,0.01916841,24.368244,13.56302,0.35250854,9739.365,0.90461063
308328731448576256,16.108453605162342,28.89468616469079,126.35881383431582,-33.890575759988685,0.21300340574574958,0.031487364,6.7647266,15.142941,0.26538754,8808.437,1.0800588
310599630982322944,19.05093883754292,31.829479949139557,129.05247171074487,-30.747774919865815,0.7902433461867384,0.016628686,47.5229,13.167124,0.30219936,8178.851,0.90673053
310776033878412288,14.050651579433236,27.70302346198265,124.22187382674936,-35.15679240522003,1.4714518925877493,0.2775882,5.3008447,18.822344,-0.31801224,10267.486,0.97609246
312493784573938944,14.266838367408779,30.71276662843398,124.36092208606296,-32.14336329553843,0.2504679696740719,0.020894593,11.987214,13.785814,0.40649033,7712.6724,1.070531
315566090644768768,21.729078691023425,31.256461250805568,131.7778652652782,-31.00515969864205,1.8031594304102148,0.24437706,7.378595,18.939234,-0.25008774,9997.212,1.0519753
2804469509481293184,14.896176264043065,25.07591650962139,125.26542172153847,-37.75891873217219,0.237413770507986,0.026140565,9.082197,14.44564,-0.04365921,11517.633,0.99144346
2804545444503049472,15.80868177618016,25.540180791340298,126.27553727473898,-37.25497023259817,0.8508440342261216,0.020873988,40.76097,10.784931,0.28247166,8844.784,1.1595738
2805648319090412800,14.661106044769273,26.566224817683405,124.93086297516629,-36.277553271466324,1.2195882424045825,0.22127382,5.5116696,18.592691,-0.42938614,10620.291,0.9854376
307617587943559552,16.201226979928773,27.339360373129743,126.57575555276422,-35.437798665854224,0.19807653674381,0.028153038,7.0357075,14.125427,0.010371208,10445.965,1.022526
308581378604733056,19.4045007756194,27.93733318076073,129.95698279469153,-34.577050113901784,0.9519394019216576,0.020766515,45.84011,12.759966,0.35326958,7512.8945,1.1790254
310641141840808832,19.68524829908191,31.983991333636435,129.65294470937314,-30.531195277892902,0.2093235776465952,0.02225732,9.404707,13.1498375,-0.06433964,12713.991,0.9843192
312651014736720256,14.490802659849736,31.181894482000256,124.57174251169087,-31.669078323098333,0.6795372673821904,0.016501132,41.18125,12.686982,0.28734684,8964.053,0.9016136
315346291397814400,21.86450661677155,30.7348122924305,132.01056605994168,-31.50116458731065,0.4029393411380039,0.019104682,21.091131,13.6326475,0.33321095,8066.3003,0.99817765
310085338713011072,18.587037398703803,30.54196989219355,128.75350147732402,-32.07067643700733,4.580846764131771,0.049135137,93.22955,7.3524237,0.002231121,10009.14,1.2459201
310605957468658816,18.97775976650829,31.99174704979163,128.95976498738875,-30.59340110299284,0.8855844142510615,0.017978553,49.257824,12.498267,0.46853638,7424.349,1.2583371
311641899284824576,15.2840876440789,29.995653027253862,125.43093564741054,-32.82903346818104,2.1204885287878885,0.016091254,131.77895,10.836586,0.46788502,7404.0835,0.972651
316413229993975808,21.476572755267068,31.78220966691578,131.43415960910895,-30.519858793722836,0.2761959196038877,0.042287093,6.5314474,15.799419,0.47746563,7448.812,0.9336296
294968600019178624,19.509345674691335,26.83209785044597,130.23884424324459,-35.661975139500214,0.3398746833549723,0.021974258,15.466947,14.566157,0.3904724,10106.105,1.0350527
309911340997977600,17.646523126351365,29.58260156508413,127.90209509686838,-33.1042912605822,0.29515838260616944,0.034165777,8.639007,15.271426,0.42620945,7707.517,1.079721
310518855532012416,19.440949562621487,31.468320868672897,129.4854169591258,-31.06821165864665,0.24700136343670767,0.03852704,6.4111166,15.321772,0.4371729,7625.485,0.8865384
310967971672048256,14.437535190503997,28.599038578169935,124.60817647032925,-34.25216610922219,0.1913535439350055,0.027766578,6.891506,14.48572,0.3372326,8829.599,1.0260577
294542573623227520,19.829555664994267,25.624967094446365,130.78781368442935,-36.82113301026342,0.6811171231014042,0.023266755,29.274263,12.20337,0.17370224,10049.166,1.2144835
296362505885232896,21.732103175610128,27.4017837327252,132.53215904210003,-34.807506693702834,0.5243863200296585,0.021436216,24.462635,12.838724,0.35127258,9284.728,1.0743262
311678634140805248,14.57834986815698,30.018687573945954,124.70311953578894,-32.82941612086121,0.3473388165961663,0.06915807,5.02239,16.690674,-0.34711075,19007.205,0.9967241
313019454211217408,16.71485087643259,30.281379934816215,126.87840618624278,-32.472170944457204,0.307790113550856,0.042564362,7.231169,15.438328,0.40283585,7834.461,0.91168046
313020210125459712,16.810562256019754,30.320540846201872,126.97274767630577,-32.42717847910744,0.26883495965486753,0.02083493,12.90309,13.141151,-0.047617912,12470.157,0.92042595
2804540977737065472,15.890338765479978,25.446388470696064,126.37491738115132,-37.34430118228953,0.6220955550947541,0.016301341,38.162228,13.096512,0.42721558,7656.3076,0.9618982
307194890146720768,17.600605248094766,27.320833664062608,128.09810291695456,-35.36060924484934,0.7838423566384811,0.017903619,43.781223,12.464135,0.443182,7411.554,1.1677097
308584672844855296,19.18449243060379,27.821230231351734,129.73944693693426,-34.71587543809698,1.0406250321474384,0.022440229,46.37319,11.902168,0.32850933,8190.709,1.3132861
310923441451235584,14.73776883306919,28.55962641288786,124.92858714147567,-34.28299456609844,0.33936291655467316,0.027930839,12.150115,14.573602,0.40276623,7752.6865,1.0552102
311608986951295360,15.00536085717922,29.749241571017087,125.15556501824493,-33.085445825182724,0.5102485999073237,0.093045965,5.483834,17.01939,-0.32923508,17308.705,0.9246684
308076118651980032,17.576494972857756,28.069534806210314,127.99029910254133,-34.6168290384949,0.3180108700362577,0.019919941,15.964449,14.091348,0.34626102,7489.5044,0.9687663
309281870590992384,21.727569376248017,29.97038803898303,132.01984228369196,-32.27462793364874,0.6301596598406487,0.01745278,36.10655,13.444372,0.36693,7996.0967,0.93323374
311322216279519872,15.653778566442238,28.945525506518326,125.87677128689045,-33.86230618444272,0.43403991921478247,0.017914211,24.228804,13.616749,0.39672184,9615.517,1.0674498
296145970814050816,21.060219878731125,26.526689686858234,131.98167243275753,-35.7679722289823,0.5705455305674023,0.019596362,29.11487,13.906354,0.42802334,7861.509,0.986155
309635501018270464,18.52102878332107,29.030676533100788,128.8747187835084,-33.57962127971548,0.4401354313973497,0.017811729,24.710428,13.610144,0.38949203,7760.743,1.0030296
310511433828515456,19.548720528112785,31.27173605307161,129.61977771913723,-31.25231324206539,0.31442425670451785,0.033054646,9.512256,14.5945635,0.41807652,7719.734,1.3257781
313330268109761792,16.62731223264437,31.35987687418555,126.70142613638373,-31.40153988215141,0.5767644714050608,0.024481624,23.559078,12.517891,0.29631138,9196.561,1.1473167
314142055583243904,15.70464916108517,31.804124439478883,125.75295349646248,-31.005280251061237,8.45353109123147,0.09580947,88.232735,5.4898953,-0.057560444,10666.685,0.94258547
308415107535580032,16.970482147284436,29.37998871887171,127.22093650704949,-33.35478039993617,0.8152038226894095,0.017207582,47.37469,12.525299,0.40799618,7688.7026,1.0807643
308778809661445888,19.04393783817725,28.03511133416457,129.55897795789673,-34.51811595344254,0.3728631885533228,0.020213922,18.44586,13.271332,0.06476307,9708.937,1.04635
309859354713675648,18.394488913624983,30.107508914468184,128.61103217264554,-32.51998306714424,0.22772202057233548,0.037450578,6.0806007,15.445899,0.33808517,7997.752,0.9792015
2805235727351702272,14.28573149523276,25.260189319343517,124.5598605317613,-37.59352706383858,0.316788077982684,0.02452353,12.917719,14.549816,0.3045416,9178.665,0.922138
294694306227812864,20.266573369021234,26.377947469798794,131.14174814016775,-36.02104177011289,0.37065800545018956,0.021940738,16.893599,14.414308,0.49154472,7802.09,1.0478634
306504538578922624,17.646675125393447,26.228344587426133,128.2717598500328,-36.44478590019912,0.2792159184472532,0.030644856,9.111347,14.628504,0.2631693,8792.46,1.0521612
308737612335218176,20.09708755495719,28.814548888692443,130.55017390031136,-33.628587978109785,0.4146884152448711,0.020553952,20.175604,14.335983,0.40622044,7857.289,1.0164026
310130002077314688,18.019528947119483,30.72369209875083,128.15918916597195,-31.938478940608753,1.0993119782624277,0.020615874,53.32357,12.517342,0.48847866,7583.8374,1.1434672
312702142027452416,14.618665836942412,31.679089767603063,124.68155531018321,-31.16875393813218,0.1940203611356672,0.029984264,6.4707394,14.808377,0.25571728,9752.152,0.9470219
2805231333600533888,14.55977526701164,25.34130612274386,124.86907742532775,-37.50486129448064,2.3016298808661886,0.23341484,9.860683,18.83107,-0.104400635,9878.947,0.9263017
296549319782893312,21.282861351123785,27.638008685863852,132.00709437401852,-34.63930434491677,0.9937096435545816,0.020240724,49.09457,12.392523,0.35084152,9153.807,1.0866089
311471170040597248,15.957746220487303,29.58096957534563,126.15259897601089,-33.2132687082109,1.7608936389000607,0.023626963,74.52899,10.582585,0.20911694,9102.822,1.18648
313590409983736960,18.2893752364322,31.81880075256895,128.30470408126573,-30.826263059145727,0.9536017513340043,0.017636286,54.07044,12.686296,0.44329548,7489.2246,1.0328991
306810134091882624,18.37907553658696,26.066541682063566,129.10551161349858,-36.54040832126202,1.701584629905425,0.017895775,95.08304,10.51677,0.42338943,7818.4946,0.91292375
308863575136063360,18.70716191763158,28.67877321513667,129.11506463199896,-33.91199583261318,0.3580178048428953,0.020663556,17.326052,13.503844,0.3577385,7761.3096,1.124779
309923951021893504,17.49786299740849,29.609962769734516,127.74553501462701,-33.0883169607509,0.29090499173051726,0.031866737,9.128798,15.10999,0.4415636,7801.0195,1.0678302
2805641382718197120,14.503350520340254,26.52266806038391,124.75763993927299,-36.325771277906384,0.6889795244817695,0.017204192,40.04719,13.392248,0.45100594,7593.4565,0.9843803
